Date,Ticker,Shares,Buy_Price,Status,Buy_Date,Holding_Days,Sell_Date,Sell_Price,Invested_Amount,Net_Profit,Current_Valuation,ROI
2026-08-24,RL,27.0,360.06,持有,2026-05-04,112,-,-,9721.63,290.51,10012.14,2.99%
2026-08-24,AGI,257.0,38.84,持有,2026-06-03,82,-,-,9982.32,-134.08,9848.24,-1.34%
2026-08-24,ALV,83.0,120.44,持有,2026-06-17,68,-,-,9996.74,154.84,10151.58,1.55%
2026-08-24,DECK,92.0,108.11,持有,2026-06-18,67,-,-,9945.94,-1474.58,8471.36,-14.83%
2026-08-24,LOGI,93.0,106.46,持有,2026-06-19,66,-,-,9900.44,-859.91,9040.53,-8.69%
2026-08-24,NTAP,64.0,154.25,持有,2026-06-23,62,-,-,9871.75,2087.29,11959.04,21.14%
2026-08-25,WU,1168.0,8.56,持有,2026-03-31,147,-,-,9999.84,-1426.72,8573.12,-14.27%
2026-08-25,BCE,397.0,25.17,持有,2026-03-31,147,-,-,9992.86,-627.63,9365.23,-6.28%
2026-08-25,MPLX,183.0,54.5,持有,2026-04-01,146,-,-,9974.32,705.56,10679.88,7.07%
2026-08-25,APA,275.0,36.26,持有,2026-04-15,132,-,-,9970.71,1400.54,11371.25,14.05%
2026-08-25,JBS,641.0,15.6,持有,2026-04-24,123,-,-,9997.72,-991.67,9006.05,-9.92%
2026-08-25,RL,27.0,360.06,持有,2026-05-04,113,-,-,9721.63,68.57,9790.2,0.71%
2026-08-25,AGI,257.0,38.84,持有,2026-06-03,83,-,-,9982.32,45.82,10028.14,0.46%
2026-08-25,ALV,83.0,120.44,持有,2026-06-17,69,-,-,9996.74,219.94,10216.68,2.20%
2026-08-25,DECK,92.0,108.11,持有,2026-06-18,68,-,-,9945.94,-1781.86,8164.08,-17.92%
2026-08-25,LOGI,93.0,106.46,持有,2026-06-19,67,-,-,9900.44,-725.99,9174.45,-7.33%
2026-08-25,NTAP,64.0,154.25,持有,2026-06-23,63,-,-,9871.75,2123.77,11995.52,21.51%
2026-08-26,WU,1168.0,8.56,持有,2026-03-31,148,-,-,9999.84,-1520.16,8479.68,-15.20%
2026-08-26,BCE,397.0,25.17,持有,2026-03-31,148,-,-,9992.86,-667.33,9325.53,-6.68%
2026-08-26,MPLX,183.0,54.5,持有,2026-04-01,147,-,-,9974.32,881.24,10855.56,8.84%
2026-08-26,APA,275.0,36.26,持有,2026-04-15,133,-,-,9970.71,1356.54,11327.25,13.61%
2026-08-26,JBS,641.0,15.6,持有,2026-04-24,124,-,-,9997.72,-1183.97,8813.75,-11.84%
2026-08-26,RL,27.0,360.06,持有,2026-05-04,114,-,-,9721.63,61.01,9782.64,0.63%
2026-08-26,AGI,257.0,38.84,持有,2026-06-03,84,-,-,9982.32,-331.97,9650.35,-3.33%
2026-08-26,ALV,83.0,120.44,持有,2026-06-17,70,-,-,9996.74,183.68,10180.42,1.84%
2026-08-26,DECK,92.0,108.11,持有,2026-06-18,69,-,-,9945.94,-1714.7,8231.24,-17.24%
2026-08-26,LOGI,93.0,106.46,持有,2026-06-19,68,-,-,9900.44,-582.77,9317.67,-5.89%
2026-08-26,NTAP,64.0,154.25,持有,2026-06-23,64,-,-,9871.75,2534.65,12406.4,25.68%
2026-08-27,WU,1168.0,8.56,持有,2026-03-31,149,-,-,9999.84,-1578.56,8421.28,-15.79%
2026-08-27,BCE,397.0,25.17,持有,2026-03-31,149,-,-,9992.86,-703.06,9289.8,-7.04%
2026-08-27,MPLX,183.0,54.5,持有,2026-04-01,148,-,-,9974.32,916.01,10890.33,9.18%
2026-08-27,APA,275.0,36.26,持有,2026-04-15,134,-,-,9970.71,1683.79,11654.5,16.89%
2026-08-27,JBS,641.0,15.6,持有,2026-04-24,125,-,-,9997.72,-1267.3,8730.42,-12.68%
2026-08-27,RL,27.0,360.06,持有,2026-05-04,115,-,-,9721.63,-220.33,9501.3,-2.27%
2026-08-27,AGI,257.0,38.84,持有,2026-06-03,85,-,-,9982.32,-247.16,9735.16,-2.48%
2026-08-27,ALV,83.0,120.44,持有,2026-06-17,71,-,-,9996.74,133.41,10130.15,1.33%
2026-08-27,DECK,92.0,108.11,持有,2026-06-18,70,-,-,9945.94,-2003.58,7942.36,-20.14%
2026-08-27,LOGI,93.0,106.46,持有,2026-06-19,69,-,-,9900.44,-784.58,9115.86,-7.92%
2026-08-27,NTAP,64.0,154.25,持有,2026-06-23,65,-,-,9871.75,2329.21,12200.96,23.59%
2026-08-28,WU,1168.0,8.56,持有,2026-03-31,150,-,-,9999.84,-1636.96,8362.88,-16.37%
2026-08-28,BCE,397.0,25.17,持有,2026-03-31,150,-,-,9992.86,-627.63,9365.23,-6.28%
2026-08-28,MPLX,183.0,54.5,持有,2026-04-01,149,-,-,9974.32,853.79,10828.11,8.56%
2026-08-28,APA,275.0,36.26,持有,2026-04-15,135,-,-,9970.71,1895.54,11866.25,19.01%
2026-08-28,JBS,641.0,15.6,持有,2026-04-24,126,-,-,9997.72,-1382.68,8615.04,-13.83%
2026-08-28,RL,27.0,360.06,持有,2026-05-04,116,-,-,9721.63,-355.33,9366.3,-3.66%
2026-08-28,AGI,257.0,38.84,持有,2026-06-03,86,-,-,9982.32,-573.55,9408.77,-5.75%
2026-08-28,ALV,83.0,120.44,持有,2026-06-17,72,-,-,9996.74,63.69,10060.43,0.64%
2026-08-28,DECK,92.0,108.11,持有,2026-06-18,71,-,-,9945.94,-1934.58,8011.36,-19.45%
2026-08-28,LOGI,93.0,106.46,持有,2026-06-19,70,-,-,9900.44,-722.27,9178.17,-7.30%
2026-08-28,NTAP,64.0,154.25,持有,2026-06-23,66,-,-,9871.75,1986.81,11858.56,20.13%
2026-08-31,WU,1168.0,8.56,持有,2026-03-31,153,-,-,9999.84,-1636.96,8362.88,-16.37%
2026-08-31,BCE,397.0,25.17,持有,2026-03-31,153,-,-,9992.86,-627.63,9365.23,-6.28%
2026-08-31,MPLX,183.0,54.5,持有,2026-04-01,152,-,-,9974.32,853.79,10828.11,8.56%
2026-08-31,APA,275.0,36.26,持有,2026-04-15,138,-,-,9970.71,1895.54,11866.25,19.01%
2026-08-31,JBS,641.0,15.6,持有,2026-04-24,129,-,-,9997.72,-1382.68,8615.04,-13.83%
2026-08-31,RL,27.0,360.06,持有,2026-05-04,119,-,-,9721.63,-355.33,9366.3,-3.66%
2026-08-31,AGI,257.0,38.84,持有,2026-06-03,89,-,-,9982.32,-573.55,9408.77,-5.75%
2026-08-31,ALV,83.0,120.44,持有,2026-06-17,75,-,-,9996.74,63.69,10060.43,0.64%
2026-08-31,DECK,92.0,108.11,持有,2026-06-18,74,-,-,9945.94,-1934.58,8011.36,-19.45%
2026-08-31,LOGI,93.0,106.46,持有,2026-06-19,73,-,-,9900.44,-722.27,9178.17,-7.30%
2026-08-31,NTAP,64.0,154.25,持有,2026-06-23,69,-,-,9871.75,1986.81,11858.56,20.13%
